group,scenario,backend,rep,op,counter,value
blob,blob/nix-closure,amber-rust-s3,0,retention_cleanup,s3_bytes_down,6272
blob,blob/nix-closure,amber-rust-s3,0,retention_cleanup,s3_bytes_up,129934161
blob,blob/nix-closure,amber-rust-s3,0,retention_cleanup,s3_connections,9
blob,blob/nix-closure,amber-rust-s3,0,retention_cleanup,s3_request_body_bytes,129921197
blob,blob/nix-closure,amber-rust-s3,0,retention_cleanup,s3_requests_GET,2
blob,blob/nix-closure,amber-rust-s3,0,retention_cleanup,s3_requests_POST,6
blob,blob/nix-closure,amber-rust-s3,0,retention_cleanup,s3_requests_PUT,10
blob,blob/nix-closure,amber-rust-s3,0,retention_cleanup,s3_requests_total,18
blob,blob/nix-closure,amber-rust-s3,0,retention_cleanup,s3_response_body_bytes,4268
blob,blob/nix-closure,amber-rust-s3,0,retention_cleanup,s3_responses_2xx,17
blob,blob/nix-closure,amber-rust-s3,0,retention_cleanup,s3_responses_4xx,1
blob,blob/nix-closure,amber-rust-s3,0,retention_cleanup,stored_bytes,129740755
blob,blob/nix-closure,amber-rust-s3,0,retention_cleanup,stored_objects,3
blob,blob/nix-closure,nix-binary-cache,0,push_initial,s3_bytes_down,8068
blob,blob/nix-closure,nix-binary-cache,0,push_initial,s3_bytes_up,109104661
blob,blob/nix-closure,nix-binary-cache,0,push_initial,s3_connections,8
blob,blob/nix-closure,nix-binary-cache,0,push_initial,s3_request_body_bytes,109082825
blob,blob/nix-closure,nix-binary-cache,0,push_initial,s3_requests_GET,9
blob,blob/nix-closure,nix-binary-cache,0,push_initial,s3_requests_HEAD,8
blob,blob/nix-closure,nix-binary-cache,0,push_initial,s3_requests_PUT,17
blob,blob/nix-closure,nix-binary-cache,0,push_initial,s3_requests_total,34
blob,blob/nix-closure,nix-binary-cache,0,push_initial,s3_response_body_bytes,2521
blob,blob/nix-closure,nix-binary-cache,0,push_initial,s3_responses_1xx,7
blob,blob/nix-closure,nix-binary-cache,0,push_initial,s3_responses_2xx,17
blob,blob/nix-closure,nix-binary-cache,0,push_initial,s3_responses_4xx,17
blob,blob/nix-closure,nix-binary-cache,0,push_initial,stored_bytes,109082825
blob,blob/nix-closure,nix-binary-cache,0,push_initial,stored_objects,17
blob,blob/nix-closure,nix-binary-cache,0,push_noop,s3_bytes_down,0
blob,blob/nix-closure,nix-binary-cache,0,push_noop,s3_bytes_up,0
blob,blob/nix-closure,nix-binary-cache,0,push_noop,s3_connections,0
blob,blob/nix-closure,nix-binary-cache,0,push_noop,s3_request_body_bytes,0
blob,blob/nix-closure,nix-binary-cache,0,push_noop,s3_requests_total,0
blob,blob/nix-closure,nix-binary-cache,0,push_noop,s3_response_body_bytes,0
blob,blob/nix-closure,nix-binary-cache,0,push_noop,stored_bytes,109082825
blob,blob/nix-closure,nix-binary-cache,0,push_noop,stored_objects,17
blob,blob/nix-closure,nix-binary-cache,0,pull_fresh,delivered_logical_bytes,184550399
blob,blob/nix-closure,nix-binary-cache,0,pull_fresh,delivered_references,8
blob,blob/nix-closure,nix-binary-cache,0,pull_fresh,s3_bytes_down,109087302
blob,blob/nix-closure,nix-binary-cache,0,pull_fresh,s3_bytes_up,12401
blob,blob/nix-closure,nix-binary-cache,0,pull_fresh,s3_connections,5
blob,blob/nix-closure,nix-binary-cache,0,pull_fresh,s3_request_body_bytes,0
blob,blob/nix-closure,nix-binary-cache,0,pull_fresh,s3_requests_GET,17
blob,blob/nix-closure,nix-binary-cache,0,pull_fresh,s3_requests_HEAD,3
blob,blob/nix-closure,nix-binary-cache,0,pull_fresh,s3_requests_total,20
blob,blob/nix-closure,nix-binary-cache,0,pull_fresh,s3_response_body_bytes,109082825
blob,blob/nix-closure,nix-binary-cache,0,pull_fresh,s3_responses_2xx,20
