op,dimension,series,value,workload,go_ns_per_op,rust_ns_per_op,ratio_go_over_rust,go_ns_per_unit,rust_ns_per_unit
fstree.encode_dir_leaf,entries,plain,1024,entries-1024,159.49490356445312,46.68280029296875,3.416566756139431,159.49490356445312,46.68280029296875
fstree.encode_dir_node,entries,plain,8,pairs-8,136.70703125,90.0546875,1.518044590960354,136.70703125,90.0546875
fstree.encode_dir_node,entries,plain,128,pairs-128,71.277587890625,42.9898681640625,1.6580089898998505,71.277587890625,42.9898681640625
fstree.encode_dir_node,entries,plain,1024,pairs-1024,67.61665344238281,30.90313720703125,2.1880190671061803,67.61665344238281,30.90313720703125
fstree.encode_file_node,entries,plain,8,children-8,117.626953125,46.984375,2.503533422015298,117.626953125,46.984375
fstree.encode_file_node,entries,plain,128,children-128,59.02392578125,19.185791015625,3.076439524082204,59.02392578125,19.185791015625
fstree.encode_file_node,entries,plain,1024,children-1024,39.01741027832031,13.270736694335938,2.9401088407528477,39.01741027832031,13.270736694335938
fstree.encode_file_node,entries,plain,65536,children-65536,54.562743186950684,12.466405391693115,4.376782358073171,54.562743186950684,12.466405391693115
fstree.index_builder_file,entries,plain,8,children-8,1325.125,97.75,13.55626598465473,1325.125,97.75
fstree.index_builder_file,entries,plain,128,children-128,220.890625,70.6015625,3.1286931503817637,220.890625,70.6015625
fstree.index_builder_file,entries,plain,1024,children-1024,136.6083984375,70.9169921875,1.926314050042,136.6083984375,70.9169921875
fstree.index_builder_file,entries,plain,65536,children-65536,128.35935974121094,69.30123901367188,1.8521942979387132,128.35935974121094,69.30123901367188
fstree.list_entries,width,plain,16,width-16/full-paging-100,617.4375,638.75,0.9666340508806263,617.4375,638.75
fstree.list_entries,width,plain,256,width-256/full-paging-100,692.4140625,402.76171875,1.7191655270738164,692.4140625,402.76171875
fstree.list_entries,width,plain,4096,width-4096/full-paging-100,1150.708984375,712.31787109375,1.6154430922926433,1150.708984375,712.31787109375
fstree.list_entries,width,plain,40000,width-40000/full-paging-100,1357.1345,832.148375,1.630880430428047,1357.1345,832.148375
fstree.lookup_entry,width,hit,16,width-16/hit,5150.49,2908.555,1.7708071533802867,64381.125,36356.9375
fstree.lookup_entry,width,hit,256,width-256/hit,40845.925,25566.54,1.5976321003937177,31910.878906250004,19973.859375
fstree.lookup_entry,width,hit,4096,width-4096/hit,88838.005,52784.23,1.6830406543772638,4337.793212890625,2577.35498046875
fstree.lookup_entry,width,hit,40000,width-40000/hit,103641.935,64279.89,1.6123539570462861,518.209675,321.39945
fstree.lookup_entry,width,miss,16,width-16/miss,5566.935,2909.005,1.9136904199202134,69586.6875,36362.5625
fstree.lookup_entry,width,miss,256,width-256/miss,711.36,220.57,3.2250986081516073,555.75,172.3203125
fstree.lookup_entry,width,miss,4096,width-4096/miss,3735.99,2028.075,1.8421360156798934,182.42138671875,99.027099609375
fstree.lookup_entry,width,miss,40000,width-40000/miss,736.105,220.275,3.3417546249006924,3.680525,1.101375
fstree.reachable_keys,width,plain,16,width-16,1475.764705882353,6314.411764705882,0.23371372676882948,1568.0,6709.0625
fstree.reachable_keys,width,plain,256,width-256,485.4826254826255,700.2162162162163,0.6933324510906725,491.171875,708.421875
fstree.reachable_keys,width,plain,4096,width-4096,142.45293546821932,143.5177098495876,0.9925808850873931,143.357177734375,144.4287109375
fstree.reachable_keys,width,plain,40000,width-40000,227.55967906202648,108.75234120774027,2.0924577488160807,229.02175,109.451075
fstree.resolve_entry,depth,plain,1,depth-1,6068.34765625,3389.6796875,1.7902422103858449,6068.34765625,3389.6796875
fstree.resolve_entry,depth,plain,4,depth-4,8793.0859375,4663.20703125,1.8856306139903383,2198.271484375,1165.8017578125
fstree.resolve_entry,depth,plain,12,depth-12,15842.17578125,8207.828125,1.9301300587663073,1320.1813151041667,683.9856770833334
fstree.resolve_entry,depth,plain,24,depth-24,26880.09765625,13563.91796875,1.9817354925161914,1120.0040690104167,565.1632486979166
fstree.resolve_path,depth,plain,1,depth-1,907.43359375,463.77734375,1.956614754857783,907.43359375,463.77734375
fstree.resolve_path,depth,plain,4,depth-4,3445.41015625,1818.39453125,1.8947539145322647,861.3525390625,454.5986328125
fstree.resolve_path,depth,plain,12,depth-12,10382.68359375,5248.69921875,1.9781441383914318,865.2236328125,437.3916015625
fstree.resolve_path,depth,plain,24,depth-24,20648.703125,10566.7890625,1.9541133075400596,860.3626302083334,440.2828776041667
key.new,item_bytes,duplicate,64,tiny-64B-duplicate,108.180908203125,84.01971435546875,1.2875657699267533,1.6903266906738281,1.3128080368041992
key.new,item_bytes,duplicate,4096,4KiB-duplicate,1781.33203125,1328.671875,1.3406861880402188,0.43489551544189453,0.3243827819824219
key.new,item_bytes,duplicate,1048576,1MiB-duplicate,219594.5,175289.5,1.2527533023940396,0.20942163467407227,0.16716909408569336
key.new,item_bytes,duplicate,8388608,large-8MiB-duplicate,1927121.5,1403806.5,1.3727828586062254,0.2297307848930359,0.1673467755317688
key.new,item_bytes,random,64,tiny-64B-random,106.7750244140625,86.5361328125,1.233877929874849,1.6683597564697266,1.3521270751953125
key.new,item_bytes,random,4096,4KiB-random,1889.5078125,1330.078125,1.4205991189427314,0.4613056182861328,0.3247261047363281
key.new,item_bytes,random,1048576,1MiB-random,257923.0,171778.0,1.5014902956141065,0.24597454071044922,0.1638202667236328
key.new,item_bytes,random,8388608,large-8MiB-random,1921480.0,1338327.0,1.4357328216497165,0.22905826568603516,0.15954101085662842
key.new,item_bytes,text,64,tiny-64B-text,108.99359130859375,86.4505615234375,1.2607620978730674,1.7030248641967773,1.350790023803711
key.new,item_bytes,text,4096,4KiB-text,2087.07421875,1318.84765625,1.5824983339503886,0.5095396041870117,0.32198429107666016
key.new,item_bytes,text,1048576,1MiB-text,249617.0,172810.0,1.4444592326832937,0.2380533218383789,0.16480445861816406
key.new,item_bytes,text,8388608,large-8MiB-text,1919246.0,1481319.0,1.295633148565569,0.2287919521331787,0.17658698558807373
packstore.put,item_bytes,duplicate,64,tiny-64B-duplicate/sync-off,161.9794921875,150.05712890625,1.0794521617743242,2.5309295654296875,2.3446426391601562
packstore.put,item_bytes,duplicate,4096,4KiB-duplicate/sync-off,5467.65625,3967.90625,1.3779701196317327,1.3348770141601562,0.9687271118164062
packstore.put,item_bytes,duplicate,1048576,1MiB-duplicate/sync-off,723622.5,275411.5,2.6274229652719656,0.6901001930236816,0.2626528739929199
packstore.put,item_bytes,duplicate,8388608,large-8MiB-duplicate/sync-off,8598255.0,2604475.0,3.3013390414574912,1.0249918699264526,0.310477614402771
packstore.put,item_bytes,text,64,tiny-64B-text/sync-off,2540.3115234375,2340.15380859375,1.0855318629522173,39.69236755371094,36.564903259277344
packstore.put,item_bytes,text,4096,4KiB-text/sync-off,54895.1875,19492.53125,2.816216467525222,13.402145385742188,4.758918762207031
packstore.put,item_bytes,text,1048576,1MiB-text/sync-off,4006864.0,1963571.0,2.0406005181376177,3.8212432861328125,1.8726072311401367
packstore.put,item_bytes,text,8388608,large-8MiB-text/sync-off,26966133.0,14796425.0,1.822476240037712,3.2146135568618774,1.7638713121414185
