core,group,op,workload,threads,rep,ops,bytes,bytes_kind,wall_ns,ns_per_op,cpu_user_ns,cpu_sys_ns,max_rss_kib,checksum,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
go,cbor,cbor.encode_xattrs,xattrs-64,1,0,64,282752,encoded,1646956,25733.6875,1545000,166000,637140,7055603837320979365,4418,64,structured,64,,,,,,1,,
go,chunkers,chunkers.item_chunker,is_boundary/bits-7,1,0,200,0,,15710,78.55,14000,5000,637140,2996728193258603621,32,200,structured,,,,,,,1,,
go,chunkers,chunkers.new_item_chunker,bits-4..12,1,0,2304,0,,30187,13.101996527777779,27000,9000,637140,10832436384879348517,,2304,structured,,,,,,,1,,
go,chunkers,chunkers.split_bytes,compressible/4-16-64KiB,1,0,64,4194304,payload,3468295,54192.109375,3366000,101000,637140,4555664296064952101,4194304,1,text,64,,,,,,1,,
go,chunkers,chunkers.split_bytes,compressible/default-sizes,1,0,4,4194304,payload,5350340,1337585.0,4255000,1079000,637140,14312206821874964901,4194304,1,text,4,,,,,,1,,
go,chunkers,chunkers.split_bytes,random/default-sizes,1,0,54,4194304,payload,2775462,51397.444444444445,2774000,0,637140,4614777541258644474,4194304,1,random,54,,,,,,1,,
go,chunkers,chunkers.split_bytes,tiny-64KiB/default-sizes,1,0,1,65536,payload,50727,50727.0,54000,0,637140,14713704181997794188,65536,1,text,1,,,,,,1,,
go,fstree,fstree.check_complete,incomplete/jobs-1,1,0,1,0,,52320,52320.0,71000,0,637140,15567951148124569360,,,structured,16,,,wide,,,1,,
go,fstree,fstree.check_complete,widest/jobs-1,1,0,40257,0,,31974009,794.2471868246516,27850000,5431000,637140,8781341933545400491,,,structured,40000,,40000,wide,,40257,1,,
go,fstree,fstree.check_complete,widest/jobs-N,4,0,40257,0,,18041254,448.15197356981395,31774000,2144000,637140,8781341933545400491,,,structured,40000,,40000,wide,,40257,4,,
go,fstree,fstree.check_complete,width-16/jobs-1,1,0,17,0,,32282,1898.9411764705883,34000,10000,637140,8753205170136912308,,,structured,16,,16,wide,,17,1,width,plain
