core,group,op,workload,threads,n,ops_per_call,bytes_per_call,bytes_kind,ns_per_op_min,ns_per_op_p25,ns_per_op_median,ns_per_op_p75,ns_per_op_max,ns_per_op_mad,variation,cpu_ns_per_op_median,ops_per_s_median,bytes_per_s_median,entries_per_s_median,objects_per_s_median,max_rss_kib_max,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
go,amberpack,amberpack.reader_all,mixed-objects/producer-rust,1,1,64,1286787,encoded,17033.625,17033.625,17033.625,17033.625,17033.625,0.0,0.0,17000.0,58707.40960893527,1180373929.507078,,,637140.0,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.reader_all,truncated-stream/producer-go,1,1,64,0,,968749.5,968749.5,968749.5,968749.5,968749.5,0.0,0.0,965078.125,1032.25859729476,,,,637140.0,644432,64,structured,,,,,,,1,,
go,amberpack,amberpack.reader_all,truncated-stream/producer-rust,1,1,64,0,,551543.125,551543.125,551543.125,551543.125,551543.125,0.0,0.0,549312.5,1813.0948509239417,,,,637140.0,643393,64,structured,,,,,,,1,,
go,amberpack,amberpack.reader_records,mixed-objects/producer-go,1,1,64,1288865,encoded,2595.28125,2595.28125,2595.28125,2595.28125,2595.28125,0.0,0.0,2609.375,385314.6937350239,7759665980.324868,,,637140.0,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.reader_records,mixed-objects/producer-rust,1,1,64,1286787,encoded,1802.8125,1802.8125,1802.8125,1802.8125,1802.8125,0.0,0.0,1843.75,554688.8542208355,11152600104.00416,,,637140.0,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.writer_add,mixed-objects,1,1,64,2170880,payload,92971.5,92971.5,92971.5,92971.5,92971.5,0.0,0.0,107687.5,10755.984360798739,364842989.51829326,,,637140.0,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.writer_add_record,pre-encoded-records/producer-go,1,1,64,1288865,encoded,147.46875,147.46875,147.46875,147.46875,147.46875,0.0,0.0,203.125,6781097.690188599,136561241788.51451,,,637140.0,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.writer_add_record,pre-encoded-records/producer-rust,1,1,64,1286787,encoded,141.984375,141.984375,141.984375,141.984375,141.984375,0.0,0.0,218.75,7043028.50225597,141607461208.31958,,,637140.0,,64,structured,,,,,,64,1,,
go,cbor,cbor.decode_xattrs,xattrs-3,1,1,64,4544,encoded,645.765625,645.765625,645.765625,645.765625,645.765625,0.0,0.0,468.75,1548549.4446998476,109947010.57368918,,,637140.0,71,64,structured,3,,,,,,1,,
go,cbor,cbor.decode_xattrs,xattrs-64,1,1,64,282752,encoded,9378.703125,9378.703125,9378.703125,9378.703125,9378.703125,0.0,0.0,9484.375,106624.54996942874,471067261.7649362,,,637140.0,4418,64,structured,64,,,,,,1,,
go,cbor,cbor.encode_xattrs,xattrs-3,1,1,64,4544,encoded,486.234375,486.234375,486.234375,486.234375,486.234375,0.0,0.0,531.25,2056621.3567274013,146020116.32764548,,,637140.0,71,64,structured,3,,,,,,1,,
go,cbor,cbor.encode_xattrs,xattrs-64,1,1,64,282752,encoded,25733.6875,25733.6875,25733.6875,25733.6875,25733.6875,0.0,0.0,26734.375,38859.568804509654,171681574.97832364,,,637140.0,4418,64,structured,64,,,,,,1,,
go,chunkers,chunkers.item_chunker,is_boundary/bits-7,1,1,200,0,,78.55,78.55,78.55,78.55,78.55,0.0,0.0,95.0,12730744.748567792,,,,637140.0,32,200,structured,,,,,,,1,,
go,chunkers,chunkers.new_item_chunker,bits-4..12,1,1,2304,0,,13.101996527777779,13.101996527777779,13.101996527777779,13.101996527777779,13.101996527777779,0.0,0.0,15.625,76324245.53615795,,,,637140.0,,2304,structured,,,,,,,1,,
go,chunkers,chunkers.split_bytes,compressible/4-16-64KiB,1,1,64,4194304,payload,54192.109375,54192.109375,54192.109375,54192.109375,54192.109375,0.0,0.0,54171.875,18452.870935142484,1209327349.6054978,,,637140.0,4194304,1,text,64,,,,,,1,,
go,chunkers,chunkers.split_bytes,compressible/default-sizes,1,1,4,4194304,payload,1337585.0,1337585.0,1337585.0,1337585.0,1337585.0,0.0,0.0,1333500.0,747.6160393545083,783932236.0821929,,,637140.0,4194304,1,text,4,,,,,,1,,
go,chunkers,chunkers.split_bytes,random/default-sizes,1,1,54,4194304,payload,51397.444444444445,51397.444444444445,51397.444444444445,51397.444444444445,51397.444444444445,0.0,0.0,51370.37037037037,19456.220261707782,1511209304.9733703,,,637140.0,4194304,1,random,54,,,,,,1,,
go,chunkers,chunkers.split_bytes,tiny-64KiB/default-sizes,1,1,1,65536,payload,50727.0,50727.0,50727.0,50727.0,50727.0,0.0,0.0,54000.0,19713.367634593018,1291935261.300688,,,637140.0,65536,1,text,1,,,,,,1,,
go,fstree,fstree.check_complete,incomplete/jobs-1,1,1,1,0,,52320.0,52320.0,52320.0,52320.0,52320.0,0.0,0.0,71000.0,19113.149847094803,,,19113.149847094803,637140.0,,,structured,16,,,wide,,,1,,
go,fstree,fstree.check_complete,widest/jobs-1,1,1,40257,0,,794.2471868246516,794.2471868246516,794.2471868246516,794.2471868246516,794.2471868246516,0.0,0.0,826.7133666194699,1259053.8771662947,,,1259053.8771662947,637140.0,,,structured,40000,,40000,wide,,40257,1,,
go,fstree,fstree.check_complete,widest/jobs-N,4,1,40257,0,,448.15197356981395,448.15197356981395,448.15197356981395,448.15197356981395,448.15197356981395,0.0,0.0,842.5367016916313,2231385.911422787,,,2231385.911422787,637140.0,,,structured,40000,,40000,wide,,40257,4,,
go,fstree,fstree.check_complete,width-16/jobs-1,1,1,17,0,,1898.9411764705883,1898.9411764705883,1898.9411764705883,1898.9411764705883,1898.9411764705883,0.0,0.0,2588.235294117647,526609.2559320984,,,526609.2559320984,637140.0,,,structured,16,,16,wide,,17,1,width,plain
go,fstree,fstree.check_complete,width-256/jobs-1,1,1,259,0,,762.4980694980695,762.4980694980695,762.4980694980695,762.4980694980695,762.4980694980695,0.0,0.0,826.2548262548263,1311478.7302455353,,,1311478.7302455353,637140.0,,,structured,256,,256,wide,,259,1,width,plain
go,fstree,fstree.check_complete,width-40000/jobs-1,1,1,40257,0,,740.9867600665723,740.9867600665723,740.9867600665723,740.9867600665723,740.9867600665723,0.0,0.0,769.8536900414834,1349551.7786446782,,,1349551.7786446782,637140.0,,,structured,40000,,40000,wide,,40257,1,width,plain
