core,op,workload,rep,name,value
go,amberpack.encode_record,4KiB-text,2,go.heap_alloc_bytes,5505024
go,amberpack.encode_record,4KiB-text,2,go.mallocs,2048
go,amberpack.encode_record,4KiB-text,3,go.heap_alloc_bytes,5505024
go,amberpack.encode_record,4KiB-text,3,go.mallocs,2048
go,amberpack.encode_record,empty,0,go.heap_alloc_bytes,384000
go,amberpack.encode_record,empty,0,go.mallocs,8000
go,amberpack.encode_record,empty,1,go.heap_alloc_bytes,384000
go,amberpack.encode_record,empty,1,go.mallocs,8000
go,amberpack.encode_record,empty,2,go.heap_alloc_bytes,384000
go,amberpack.encode_record,empty,2,go.mallocs,8000
go,amberpack.encode_record,empty,3,go.heap_alloc_bytes,384000
go,amberpack.encode_record,empty,3,go.mallocs,8000
go,amberpack.encode_record,large-8MiB-duplicate,0,go.heap_alloc_bytes,54558720
go,amberpack.encode_record,large-8MiB-duplicate,0,go.mallocs,6
go,amberpack.encode_record,large-8MiB-duplicate,1,go.heap_alloc_bytes,54558720
go,amberpack.encode_record,large-8MiB-duplicate,1,go.mallocs,6
go,amberpack.encode_record,large-8MiB-duplicate,2,go.heap_alloc_bytes,54558720
go,amberpack.encode_record,large-8MiB-duplicate,2,go.mallocs,6
go,amberpack.encode_record,large-8MiB-duplicate,3,go.heap_alloc_bytes,54558720
go,amberpack.encode_record,large-8MiB-duplicate,3,go.mallocs,6
go,amberpack.encode_record,large-8MiB-random,0,go.heap_alloc_bytes,27279360
go,amberpack.encode_record,large-8MiB-random,0,go.mallocs,3
go,amberpack.encode_record,large-8MiB-random,1,go.heap_alloc_bytes,27279360
go,amberpack.encode_record,large-8MiB-random,1,go.mallocs,3
go,amberpack.encode_record,large-8MiB-random,2,go.heap_alloc_bytes,27279360
go,amberpack.encode_record,large-8MiB-random,2,go.mallocs,3
go,amberpack.encode_record,large-8MiB-random,3,go.heap_alloc_bytes,27279360
go,amberpack.encode_record,large-8MiB-random,3,go.mallocs,3
go,amberpack.encode_record,large-8MiB-text,0,go.heap_alloc_bytes,10002432
go,amberpack.encode_record,large-8MiB-text,0,go.mallocs,2
go,amberpack.encode_record,large-8MiB-text,1,go.heap_alloc_bytes,10002432
go,amberpack.encode_record,large-8MiB-text,1,go.mallocs,2
go,amberpack.encode_record,large-8MiB-text,2,go.heap_alloc_bytes,10002432
go,amberpack.encode_record,large-8MiB-text,2,go.mallocs,2
go,amberpack.encode_record,large-8MiB-text,3,go.heap_alloc_bytes,10002432
go,amberpack.encode_record,large-8MiB-text,3,go.mallocs,2
go,amberpack.encode_record,tiny-64B-duplicate,0,go.heap_alloc_bytes,4980736
go,amberpack.encode_record,tiny-64B-duplicate,0,go.mallocs,49152
go,amberpack.encode_record,tiny-64B-duplicate,1,go.heap_alloc_bytes,4980736
go,amberpack.encode_record,tiny-64B-duplicate,1,go.mallocs,49152
go,amberpack.encode_record,tiny-64B-duplicate,2,go.heap_alloc_bytes,4980736
go,amberpack.encode_record,tiny-64B-duplicate,2,go.mallocs,49152
go,amberpack.encode_record,tiny-64B-duplicate,3,go.heap_alloc_bytes,4980736
go,amberpack.encode_record,tiny-64B-duplicate,3,go.mallocs,49152
go,amberpack.encode_record,tiny-64B-random,0,go.heap_alloc_bytes,4980736
go,amberpack.encode_record,tiny-64B-random,0,go.mallocs,49152
go,amberpack.encode_record,tiny-64B-random,1,go.heap_alloc_bytes,4980736
go,amberpack.encode_record,tiny-64B-random,1,go.mallocs,49152
go,amberpack.encode_record,tiny-64B-random,2,go.heap_alloc_bytes,4980736
go,amberpack.encode_record,tiny-64B-random,2,go.mallocs,49152
go,amberpack.encode_record,tiny-64B-random,3,go.heap_alloc_bytes,4980736
go,amberpack.encode_record,tiny-64B-random,3,go.mallocs,49152
go,amberpack.encode_record,tiny-64B-text,0,go.heap_alloc_bytes,4945136
go,amberpack.encode_record,tiny-64B-text,0,go.mallocs,48874
go,amberpack.encode_record,tiny-64B-text,1,go.heap_alloc_bytes,4945136
go,amberpack.encode_record,tiny-64B-text,1,go.mallocs,48874
go,amberpack.encode_record,tiny-64B-text,2,go.heap_alloc_bytes,4945136
go,amberpack.encode_record,tiny-64B-text,2,go.mallocs,48874
go,amberpack.encode_record,tiny-64B-text,3,go.heap_alloc_bytes,4945136
go,amberpack.encode_record,tiny-64B-text,3,go.mallocs,48874
go,amberpack.parse_record,corrupt-crc/producer-go,0,go.heap_alloc_bytes,26168
go,amberpack.parse_record,corrupt-crc/producer-go,0,go.mallocs,520
go,amberpack.parse_record,corrupt-crc/producer-go,1,go.heap_alloc_bytes,26136
go,amberpack.parse_record,corrupt-crc/producer-go,1,go.mallocs,519
go,amberpack.parse_record,corrupt-crc/producer-go,2,go.heap_alloc_bytes,25736
go,amberpack.parse_record,corrupt-crc/producer-go,2,go.mallocs,514
go,amberpack.parse_record,corrupt-crc/producer-go,3,go.heap_alloc_bytes,25736
go,amberpack.parse_record,corrupt-crc/producer-go,3,go.mallocs,514
go,amberpack.parse_record,corrupt-crc/producer-rust,0,go.heap_alloc_bytes,26056
go,amberpack.parse_record,corrupt-crc/producer-rust,0,go.mallocs,518
go,amberpack.parse_record,corrupt-crc/producer-rust,1,go.heap_alloc_bytes,26056
go,amberpack.parse_record,corrupt-crc/producer-rust,1,go.mallocs,518
go,amberpack.parse_record,corrupt-crc/producer-rust,2,go.heap_alloc_bytes,25736
go,amberpack.parse_record,corrupt-crc/producer-rust,2,go.mallocs,514
go,amberpack.parse_record,corrupt-crc/producer-rust,3,go.heap_alloc_bytes,25736
go,amberpack.parse_record,corrupt-crc/producer-rust,3,go.mallocs,514
go,amberpack.parse_record,mixed-records/producer-go,0,go.heap_alloc_bytes,0
go,amberpack.parse_record,mixed-records/producer-go,0,go.mallocs,0
go,amberpack.parse_record,mixed-records/producer-go,1,go.heap_alloc_bytes,0
go,amberpack.parse_record,mixed-records/producer-go,1,go.mallocs,0
go,amberpack.parse_record,mixed-records/producer-go,2,go.heap_alloc_bytes,0
go,amberpack.parse_record,mixed-records/producer-go,2,go.mallocs,0
go,amberpack.parse_record,mixed-records/producer-go,3,go.heap_alloc_bytes,0
go,amberpack.parse_record,mixed-records/producer-go,3,go.mallocs,0
go,amberpack.parse_record,mixed-records/producer-rust,0,go.heap_alloc_bytes,0
go,amberpack.parse_record,mixed-records/producer-rust,0,go.mallocs,0
go,amberpack.parse_record,mixed-records/producer-rust,1,go.heap_alloc_bytes,0
go,amberpack.parse_record,mixed-records/producer-rust,1,go.mallocs,0
go,amberpack.parse_record,mixed-records/producer-rust,2,go.heap_alloc_bytes,0
