core,group,op,workload,threads,rep,ops,bytes,bytes_kind,wall_ns,ns_per_op,cpu_user_ns,cpu_sys_ns,max_rss_kib,checksum,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
go,amberpack,amberpack.encode_record,4KiB-duplicate,1,0,1024,4194304,payload,4103129,4006.9619140625,4005000,1023000,1813432,15163794708379116325,4096,1024,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,4KiB-duplicate,1,1,1024,4194304,payload,3427688,3347.3515625,3420000,0,1813432,15163794708379116325,4096,1024,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,4KiB-duplicate,1,2,1024,4194304,payload,3327927,3249.9287109375,3281000,40000,1813432,15163794708379116325,4096,1024,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,4KiB-duplicate,1,3,1024,4194304,payload,3576051,3492.2373046875,3495000,73000,1813432,15163794708379116325,4096,1024,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,4KiB-random,1,0,1024,4194304,payload,3686412,3600.01171875,3674000,0,1813432,833230075664003548,4096,1024,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,4KiB-random,1,1,1024,4194304,payload,3867849,3777.1962890625,3712000,1115000,1813432,833230075664003548,4096,1024,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,4KiB-random,1,2,1024,4194304,payload,3539141,3456.1923828125,3472000,65000,1813432,833230075664003548,4096,1024,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,4KiB-random,1,3,1024,4194304,payload,3756376,3668.3359375,3751000,976000,1813432,833230075664003548,4096,1024,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,4KiB-text,1,0,1024,4194304,payload,24608920,24032.1484375,24429000,1055000,1813432,7797885073011845644,4096,1024,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.encode_record,4KiB-text,1,1,1024,4194304,payload,24869778,24286.892578125,23950000,1841000,1813432,7797885073011845644,4096,1024,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.encode_record,4KiB-text,1,2,1024,4194304,payload,24940092,24355.55859375,24840000,972000,1813432,7797885073011845644,4096,1024,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.encode_record,4KiB-text,1,3,1024,4194304,payload,25454525,24857.9345703125,25332000,25000,1813432,7797885073011845644,4096,1024,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.encode_record,empty,1,0,8000,0,payload,495967,61.995875,499000,0,1813432,18132281937839988517,,8000,empty,,,,,,,1,item_bytes,empty
go,amberpack,amberpack.encode_record,empty,1,1,8000,0,payload,492571,61.571375,436000,63000,1813432,18132281937839988517,,8000,empty,,,,,,,1,item_bytes,empty
go,amberpack,amberpack.encode_record,empty,1,2,8000,0,payload,495977,61.997125,496000,0,1813432,18132281937839988517,,8000,empty,,,,,,,1,item_bytes,empty
go,amberpack,amberpack.encode_record,empty,1,3,8000,0,payload,489124,61.1405,435000,63000,1813432,18132281937839988517,,8000,empty,,,,,,,1,item_bytes,empty
go,amberpack,amberpack.encode_record,large-8MiB-duplicate,1,0,2,16777216,payload,7951199,3975599.5,7932000,0,1813432,11090642185545363909,8388608,2,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,large-8MiB-duplicate,1,1,2,16777216,payload,7527158,3763579.0,7456000,58000,1813432,11090642185545363909,8388608,2,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,large-8MiB-duplicate,1,2,2,16777216,payload,7438940,3719470.0,7372000,47000,1813432,11090642185545363909,8388608,2,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,large-8MiB-duplicate,1,3,2,16777216,payload,8046270,4023135.0,7954000,999000,1813432,11090642185545363909,8388608,2,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,large-8MiB-random,1,0,1,8388608,payload,4096756,4096756.0,4080000,7000,1813432,16023285418421674942,8388608,1,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,large-8MiB-random,1,1,1,8388608,payload,4182019,4182019.0,4179000,0,1813432,16023285418421674942,8388608,1,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,large-8MiB-random,1,2,1,8388608,payload,3603223,3603223.0,3526000,74000,1813432,16023285418421674942,8388608,1,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,large-8MiB-random,1,3,1,8388608,payload,3667516,3667516.0,3355000,921000,1813432,16023285418421674942,8388608,1,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,large-8MiB-text,1,0,1,8388608,payload,25728208,25728208.0,25660000,0,1813432,3717030585049525887,8388608,1,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.encode_record,large-8MiB-text,1,1,1,8388608,payload,25569545,25569545.0,22957000,3661000,1813432,3717030585049525887,8388608,1,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.encode_record,large-8MiB-text,1,2,1,8388608,payload,25683472,25683472.0,25989000,0,1813432,3717030585049525887,8388608,1,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.encode_record,large-8MiB-text,1,3,1,8388608,payload,25276395,25276395.0,25208000,0,1813432,3717030585049525887,8388608,1,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.encode_record,tiny-64B-duplicate,1,0,16384,1048576,payload,8463398,516.5648193359375,8437000,0,1813432,15118262615421100837,64,16384,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,tiny-64B-duplicate,1,1,16384,1048576,payload,8478636,517.494873046875,8574000,503000,1813432,15118262615421100837,64,16384,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,tiny-64B-duplicate,1,2,16384,1048576,payload,8363496,510.46728515625,8307000,38000,1813432,15118262615421100837,64,16384,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,tiny-64B-duplicate,1,3,16384,1048576,payload,8412480,513.45703125,8355000,43000,1813432,15118262615421100837,64,16384,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,tiny-64B-random,1,0,16384,1048576,payload,9066890,553.3990478515625,9044000,2000,1813432,13667126546932280967,64,16384,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,tiny-64B-random,1,1,16384,1048576,payload,9470581,578.0383911132812,9425000,0,1813432,13667126546932280967,64,16384,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,tiny-64B-random,1,2,16384,1048576,payload,8947011,546.0822143554688,8917000,0,1813432,13667126546932280967,64,16384,random,,,,,,,1,item_bytes,random
