core,group,op,workload,threads,n,ops_per_call,bytes_per_call,bytes_kind,ns_per_op_min,ns_per_op_p25,ns_per_op_median,ns_per_op_p75,ns_per_op_max,ns_per_op_mad,variation,cpu_ns_per_op_median,ops_per_s_median,bytes_per_s_median,entries_per_s_median,objects_per_s_median,max_rss_kib_max,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
go,amberpack,amberpack.parse_record,mixed-records/producer-rust,1,7,500,10053753,encoded,706.128,712.1,714.264,737.178,746.566,8.135999999999967,0.011390746278686826,722.0,1400042.5612938632,28151364201.471725,,,1813432.0,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.reader_all,mixed-objects/producer-go,1,7,500,10070344,encoded,16349.632,16378.537,16479.28,17091.078,17749.686,129.64799999999923,0.007867334009738243,16436.0,60682.26281730755,1222182522.5373924,,,1813432.0,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.reader_all,mixed-objects/producer-rust,1,7,500,10053753,encoded,15624.106,15827.223999999998,16054.79,16702.266,17432.54,373.9360000000015,0.02329124205299487,15998.0,62286.70695786118,1252430333.8754354,,,1813432.0,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.reader_all,truncated-stream/producer-go,1,7,64,0,,4602598.46875,4802289.859375,5268742.71875,5332959.28125,5558661.65625,289918.9375,0.05502620890336106,5672515.625,189.798601560345,,,,1813432.0,5035172,64,structured,,,,,,,1,,
go,amberpack,amberpack.reader_all,truncated-stream/producer-rust,1,7,64,0,,4995759.359375,5040369.1796875,5068666.90625,5102929.390625,5152953.703125,36268.8125,0.007155493381361905,5453125.0,197.29053388119354,,,,1813432.0,5026876,64,structured,,,,,,,1,,
go,amberpack,amberpack.reader_records,mixed-objects/producer-go,1,7,500,10070344,encoded,1423.8,1455.45,1472.332,1867.728,2553.638,48.53200000000015,0.03296267417946506,1562.0,679194.6381658484,13679447298.571247,,,1813432.0,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.reader_records,mixed-objects/producer-rust,1,7,500,10053753,encoded,1418.41,1426.2939999999999,1437.666,1481.699,1529.602,16.47199999999998,0.011457459521196147,1456.0,695571.8504854396,13986215157.06708,,,1813432.0,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.writer_add,mixed-objects,1,7,500,16960000,payload,65447.942,66207.133,67028.018,67626.31400000001,68611.246,804.218000000008,0.011998236319623953,70946.0,14919.134264122205,506057034.23902524,,,1813432.0,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.writer_add_record,pre-encoded-records/producer-go,1,7,500,10070344,encoded,28.654,28.926000000000002,29.096,34.836999999999996,41.278,0.44200000000000017,0.015191091558977184,38.0,34368985.42755018,692215012372.8347,,,1813432.0,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.writer_add_record,pre-encoded-records/producer-rust,1,7,500,10053753,encoded,28.756,29.116,29.456,32.372,37.39,0.620000000000001,0.021048343291689333,36.0,33948940.79304726,682628530689.8425,,,1813432.0,,500,structured,,,,,,500,1,,
go,cbor,cbor.decode_xattrs,xattrs-3,1,7,64,4544,encoded,369.765625,394.9765625,409.84375,421.5859375,427.390625,17.375,0.042394205108654215,484.375,2439954.2508577965,173236751.81090355,,,1813432.0,71,64,structured,3,,,,,,1,,
