group,op,workload,threads,n,go_ns_per_op_median,go_ns_per_op_mad,go_variation,rust_ns_per_op_median,rust_ns_per_op_mad,rust_variation,median_ratio_go_over_rust,ratio_ci_low,ratio_ci_high,mann_whitney_u,p_value,p_method,bytes_kind,go_bytes_per_s_median,rust_bytes_per_s_median,go_ops_per_s_median,rust_ops_per_s_median,go_cpu_ns_per_op_median,rust_cpu_ns_per_op_median,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
packstore,packstore.write_parallel,mixed-objects/writers-N/verify-true,8,7,9517.072625,202.65487500000017,0.02129382458085426,5515.142875,36.73399999999947,0.006660570874149742,1.7256257617804691,1.6207500178687708,1.7950459136412729,49.0,0.0005827505827505828,exact,payload,928016455.0598876,1601409102.2075288,105074.32688630975,181318.96537675825,37910.75,27534.625,,8000,structured,,,,,,8000,8,,
reference,reference.decode,signed,1,7,863.015625,13.42578125,0.015556822913837741,430.94140625,17.57421875,0.040780993645815396,2.0026286926333157,1.8840430726529773,2.120249097541154,49.0,0.0005827505827505828,exact,encoded,367316640.4142451,735598843.3752414,1158727.572284685,2320501.083202654,878.90625,433.59375,317,256,structured,,,,,,,1,,
reference,reference.encode,signed,1,7,277.796875,14.67578125,0.05282918049384105,167.859375,1.80078125,0.010727915852182817,1.6549380992274039,1.564559960978329,1.7899044681062792,49.0,0.0005827505827505828,exact,encoded,1141121547.8935823,1888485525.4584382,3599752.517014455,5957367.588196966,292.96875,167.96875,317,256,structured,,,,,,,1,,
reference,reference.signature_payload,signed,1,7,267.54296875,20.15625,0.07533836562468062,171.6953125,1.48828125,0.008668153069117715,1.5582427082859354,1.5145596030224429,1.7009834261742658,49.0,0.0005827505827505828,exact,,,,3737717.36432524,5824270.82859353,273.4375,175.78125,,256,structured,,,,,,,1,,
reference,reference.validate_name,valid,1,7,57.0234375,0.9375,0.016440608302507192,29.51171875,0.12109375,0.004103242885506287,1.9322303110522832,1.9060023863166158,1.9920255183413078,49.0,0.0005827505827505828,exact,,,,17536648.856007673,33884844.47385837,82.03125,31.25,,256,structured,,,,,,,1,,
reference,reference.validate_user,valid,1,7,75.10546875,5.16796875,0.06880948665938524,90.09375,2.38671875,0.026491501907735,0.833636836628512,0.6771720613287905,0.9259341736070904,4.0,0.006993006993006993,exact,,,,13314609.663494045,11099549.080818592,101.5625,93.75,,256,structured,,,,,,,1,,
refstore,refstore.all,records,1,7,108.4852,4.3382000000000005,0.039988864840549684,161.5106,3.7931999999999846,0.02348576502099543,0.671690898306365,0.6455108561772214,0.7958530277024113,0.0,0.0005827505827505828,exact,,,,9217847.227087198,6191544.084413036,110.6,161.2,,1,structured,5000,,,,,,1,,
refstore,refstore.close,populated,1,7,133355.0,2455.0,0.018409508454876083,920308.0,6342.0,0.006891171216592706,0.14490257609409024,0.14091724314629772,0.15726519761559868,0.0,0.0005827505827505828,exact,,,,7498.781448014697,1086.592749383902,79000.0,706000.0,,1,structured,5000,,,,,,1,,
refstore,refstore.delete,records,1,7,1687.7902,24.577199999999948,0.01456176247498057,39646.8954,171.73199999999633,0.004331537142249891,0.04257055143843621,0.04176972207736121,0.045498691034038176,0.0,0.0005827505827505828,exact,,,,592490.7017471722,25222.65589552316,1712.6,23495.8,,5000,structured,5000,,,,,,1,,
refstore,refstore.get,hit,1,7,1025.7095,9.768500000000131,0.00952365167720503,559.3935,1.8840000000000146,0.0033679333063398385,1.8336099722288512,1.8023737392935535,1.8702265778407408,49.0,0.0005827505827505828,exact,,,,974934.9109080106,1787650.374914975,1024.0,556.5,,2000,structured,5000,,,,,,1,,
refstore,refstore.get,miss,1,7,209.991,5.0645000000000095,0.024117700282393097,345.2595,2.40949999999998,0.00697880869317131,0.6082120839542432,0.5914519795006525,0.686661177920057,0.0,0.0005827505827505828,exact,,,,4762108.852284146,2896372.149064689,211.5,344.0,,2000,structured,5000,,,,,,1,,
refstore,refstore.open,empty,1,7,748920.0,12875.0,0.01719142231479998,1270857.0,6984.0,0.0054955042148723265,0.5893031237975633,0.5767934023099436,0.6077937475745723,0.0,0.0005827505827505828,exact,,,,1335.2561021203867,786.8705920493022,405000.0,982000.0,,1,structured,,,,,,,1,,
refstore,refstore.open,populated-reopen,1,7,2456282.0,45517.0,0.01853085272782197,903826.0,7524.0,0.008324611153031668,2.7176491935394647,2.6288534179455634,2.778121360231213,49.0,0.0005827505827505828,exact,,,,407.11937798672955,1106.407649259924,2118000.0,355000.0,,1,structured,5000,,,,,,1,,
refstore,refstore.put,records/sync-false,1,7,476.5704,23.326599999999985,0.048946808278483064,43839.8086,95.83920000000217,0.002186122683026544,0.01087072264270789,0.01011991906945321,0.011026546183853387,0.0,0.0005827505827505828,exact,,,,2098325.8716865336,22810.31856512257,607.0,25241.4,,5000,structured,5000,,,,,,1,,
refstore,refstore.put,records/sync-true,1,7,60237.6854,173.86160000000382,0.002886259637061085,43995.316,82.79200000000128,0.001881836693706241,1.3691840604122494,1.3535907971272938,1.3794593645169246,49.0,0.0005827505827505828,exact,,,,16600.903460344445,22729.692406346167,11401.6,25288.6,,5000,structured,5000,,,,,,1,,
refstore,refstore.put_batch,records/sync-false,1,7,115.5788,2.3225999999999942,0.02009538081378241,904.2672,1.6112000000000535,0.0017817742366416183,0.12781487595701801,0.12263257408499859,0.1282885452082607,0.0,0.0005827505827505828,exact,,,,8652105.749497313,1105867.8231390014,116.8,861.2,,5000,structured,5000,,,,,,1,,
refstore,refstore.wipe,records,1,7,1168963.0,36059.0,0.030846998579082487,16436949.0,437346.0,0.026607492667891103,0.07111800371224611,0.06799821394900221,0.0812478284617437,0.0,0.0005827505827505828,exact,,,,855.4590692776418,60.83854126456193,1209000.0,16288000.0,,1,structured,5000,,,,,,1,,
tar,tarexport.write,fixture-tree,1,7,2357.4414803682134,3.497088108209482,0.0014834252036929735,2266.825098628593,8.635731730227235,0.003809615367084019,1.0399750213611285,1.0290988206612088,1.0452957162117351,49.0,0.0005827505827505828,exact,encoded,5123647216.224902,5328465123.14038,424188.68435445026,441145.6360726684,2355.814390381364,2259.440165320308,,,tree,5323,,,,5323,,1,,
tar,tarextract.extract,fixture-tree,1,7,39362.652827353,249.55983467969054,0.006340015643109097,32263.743377794475,90.12906255870621,0.00279350915680595,1.2200274582658734,1.2115209708678485,1.3736632400976985,49.0,0.0005827505827505828,exact,encoded,306856820.1254021,374373746.3091426,25404.79180572664,30994.54357451436,39714.25887657336,31969.002442231824,,,tree,5323,,,,5323,,1,,
