group,scenario,backend,rep,op,counter,value
blob,blob/backup-corpus,amber-go-s3,1,pull_fresh,s3_bytes_up,8183
blob,blob/backup-corpus,amber-go-s3,1,pull_fresh,s3_connections,8
blob,blob/backup-corpus,amber-go-s3,1,pull_fresh,s3_request_body_bytes,0
blob,blob/backup-corpus,amber-go-s3,1,pull_fresh,s3_requests_GET,12
blob,blob/backup-corpus,amber-go-s3,1,pull_fresh,s3_requests_HEAD,1
blob,blob/backup-corpus,amber-go-s3,1,pull_fresh,s3_requests_total,13
blob,blob/backup-corpus,amber-go-s3,1,pull_fresh,s3_response_body_bytes,11762877
blob,blob/backup-corpus,amber-go-s3,1,pull_fresh,s3_responses_2xx,11
blob,blob/backup-corpus,amber-go-s3,1,pull_fresh,s3_responses_4xx,2
blob,blob/backup-corpus,amber-go-s3,1,pull_fresh,stored_bytes,11758480
blob,blob/backup-corpus,amber-go-s3,1,pull_fresh,stored_objects,8
blob,blob/backup-corpus,amber-go-s3,1,push_incremental,s3_bytes_down,6321
blob,blob/backup-corpus,amber-go-s3,1,push_incremental,s3_bytes_up,3563663
blob,blob/backup-corpus,amber-go-s3,1,push_incremental,s3_connections,9
blob,blob/backup-corpus,amber-go-s3,1,push_incremental,s3_request_body_bytes,3555668
blob,blob/backup-corpus,amber-go-s3,1,push_incremental,s3_requests_GET,2
blob,blob/backup-corpus,amber-go-s3,1,push_incremental,s3_requests_POST,3
blob,blob/backup-corpus,amber-go-s3,1,push_incremental,s3_requests_PUT,7
blob,blob/backup-corpus,amber-go-s3,1,push_incremental,s3_requests_total,12
blob,blob/backup-corpus,amber-go-s3,1,push_incremental,s3_response_body_bytes,4364
blob,blob/backup-corpus,amber-go-s3,1,push_incremental,s3_responses_2xx,11
blob,blob/backup-corpus,amber-go-s3,1,push_incremental,s3_responses_4xx,1
blob,blob/backup-corpus,amber-go-s3,1,push_incremental,stored_bytes,11956094
blob,blob/backup-corpus,amber-go-s3,1,push_incremental,stored_objects,10
blob,blob/backup-corpus,amber-go-s3,1,pull_incremental,delivered_logical_bytes,34257224
blob,blob/backup-corpus,amber-go-s3,1,pull_incremental,delivered_references,1
blob,blob/backup-corpus,amber-go-s3,1,pull_incremental,s3_bytes_down,3556407
blob,blob/backup-corpus,amber-go-s3,1,pull_incremental,s3_bytes_up,7546
blob,blob/backup-corpus,amber-go-s3,1,pull_incremental,s3_connections,7
